,filename,analysis_date,time,location,T_room,T_bath,dPhi_4,dPhi_10,offset,pH_CRM_calc,pH_opt,time_to_eq,flag,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept,station,bottle,data_index,pH_calc12_total_20,pH_spectro_total_20,pH_vindta_total_20
0,2020-09-10_103422_CRM1,2020-10-09 00:00:00,10:39,CRM,21.1,20.0,23.960201,53.029198,-0.36194899999999997,7.95961498960607,7.96,20.0,2.0,7.960975,7.961,7.961125,7.961,2.5972418320159806e-07,19.0,7.9610952380952416,7.961,1.725239918289077e-06,0.0007003400534572602,7.9609822508898445,,,,,,
1,2020-09-10_105117_TERSLG10_2020005969,2020-10-09 00:00:00,11:00,TERSLG10,21.1,20.0,23.960201,53.029198,-0.36194899999999997,,8.06,20.0,2.0,8.05632098765432,8.059,8.060367346938776,8.06,4.0930370196556545e-06,36.0,8.060577777777779,8.061,5.760309441390594e-07,0.0010972877489705665,8.057016691495775,TERSLG10,2020005969.0,538.0,8.062138189,8.067970716,8.058495701
2,2020-09-10_111641_TERSLG50_2020005970,2020-10-09 00:00:00,11:19,TERSLG50,20.1,20.0,23.960201,53.029198,-0.36194899999999997,,8.05,20.0,2.0,8.052172839506174,8.052,8.052313725490196,8.052,4.286889643114697e-09,11.0,8.05227142857143,8.052,3.084234438003839e-07,0.0007787285916552008,8.052405971314673,TERSLG50,2020005970.0,539.0,8.044999051,8.052642612,8.043590904
3,2020-09-10_114043_TERSLG100_2020005971,2020-10-09 00:00:00,11:50,TERSLG100,21.1,20.0,23.960201,53.029198,-0.36194899999999997,,8.03,20.0,2.0,8.034617283950617,8.033999999999999,8.033612244897961,8.033999999999999,1.0800191065265509e-08,39.0,8.033619047619048,8.033999999999999,5.351496463211513e-07,0.0006228330611545704,8.033628687166296,TERSLG100,2020005971.0,540.0,8.022730776,8.032077575,8.021695757
4,2020-09-10_120444_TERSLG135_2020005972,2020-10-09 00:00:00,12:19,TERSLG135,20.1,20.0,23.960201,53.029198,-0.36194899999999997,,7.98,20.0,2.0,7.983987654320988,7.982,7.980877551020409,7.981,8.657315034211693e-08,60.0,7.980523809523809,7.981,2.4173930984073886e-06,0.0009807674351775108,7.980432903679992,TERSLG135,2020005972.0,541.0,7.9731306879999995,7.980494675,7.970213512000001
5,2020-09-10_122924_TERSLG175_2020005983,2020-10-09 00:00:00,12:42,TERSLG175,20.3,20.0,23.960201,53.029198,-0.36194899999999997,,7.95,20.0,2.0,7.9567125,7.956,7.955428571428571,7.955,1.822938465538593e-08,53.0,7.955,7.955,1.3936778486557591e-06,0.0008320502943381216,7.9544761585557975,TERSLG175,2020005983.0,550.0,7.951519656,7.959028174,7.948845127
6,2020-09-10_125429_TERSLG175_2020005973,2020-10-09 00:00:00,12:59,TERSLG175,20.0,20.0,23.960201,53.029198,-0.36194899999999997,,7.95,20.0,2.0,7.952518518518517,7.9529999999999985,7.9531020408163275,7.9529999999999985,1.0996002653185827e-06,19.0,7.953048387096773,7.9529999999999985,4.207470271027337e-07,0.0009308451889180273,7.952231900220082,TERSLG175,2020005973.0,542.0,,7.95266236,
7,2020-09-10_131944_ROTTMPT70_2020005976,2020-10-09 00:00:00,13:38,ROTTMPT70,21.2,20.0,23.960201,53.029198,-0.36194899999999997,,8.05,20.0,2.0,8.044250000000002,8.048,8.049469387755103,8.05,0.0,74.0,8.051,8.051,0.0,0.0,8.051,ROTTMPT70,2020005976.0,545.0,,8.046865288,
8,2020-09-10_134410_TERSLG175_2020005984,2020-10-09 00:00:00,14:01,TERSLG175,21.3,20.0,23.960201,53.029198,-0.36194899999999997,,7.87,20.0,2.0,7.887395061728394,7.877999999999999,7.875102040816327,7.874,1.2121603884006753e-06,71.0,7.871900000000001,7.872000000000001,4.3981641990797515e-06,0.0005676462121973538,7.873272817701959,TERSLG175,2020005984.0,551.0,7.869153801,7.873461032000001,7.867745289
9,2020-09-10_140851_TERSLG235_2020005974,2020-10-09 00:00:00,14:27,TERSLG235,21.1,20.0,23.960201,53.029198,-0.36194899999999997,,7.92,20.0,2.0,7.910308641975307,7.9129999999999985,7.914510204081633,7.915,1.3867231592537415e-22,75.0,7.915333333333333,7.915,9.200996803590455e-06,0.0005163977794944947,7.915333333333333,TERSLG235,2020005974.0,543.0,,7.918264171000001,
