filename,analysis_date,time,location,T_room,T_bath,dPhi_4,dPhi_10,offset,pH_CRM_calc,pH_opt,time_to_eq,flag,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept
2020-09-10_103422_CRM1,2020-10-09 00:00:00,10:39,CRM,21.1,20.0,23.960201,53.029198,-0.361949,7.95961498960607,7.96,20.0,2.0,7.960975,7.961,7.961125,7.961,2.597241832015981e-07,19.0,7.961095238095241,7.961,1.7252399182890767e-06,0.0007003400534572602,7.960982250889845
2020-09-10_105117_TERSLG10_2020005969,2020-10-09 00:00:00,11:00,TERSLG10,21.1,20.0,23.960201,53.029198,-0.361949,,8.06,20.0,2.0,8.05632098765432,8.059,8.060367346938776,8.06,4.093037019655655e-06,36.0,8.060577777777779,8.061,5.760309441390594e-07,0.0010972877489705663,8.057016691495775
2020-09-10_111641_TERSLG50_2020005970,2020-10-09 00:00:00,11:19,TERSLG50,20.1,20.0,23.960201,53.029198,-0.361949,,8.05,20.0,2.0,8.052204819277108,8.052,8.052313725490196,8.052,4.286889643114697e-09,11.0,8.052305555555556,8.052,3.0403990255939176e-07,0.000798570710687747,8.05230256531017
2020-09-10_114043_TERSLG100_2020005971,2020-10-09 00:00:00,11:50,TERSLG100,21.1,20.0,23.960201,53.029198,-0.361949,,8.03,20.0,2.0,8.034617283950617,8.033999999999999,8.03361224489796,8.033999999999999,1.0800191065265509e-08,39.0,8.033619047619048,8.033999999999999,5.351496463211513e-07,0.0006228330611545704,8.033628687166296
2020-09-10_120444_TERSLG135_2020005972,2020-10-09 00:00:00,12:19,TERSLG135,20.1,20.0,23.960201,53.029198,-0.361949,,7.98,20.0,2.0,7.983987654320988,7.982,7.980877551020409,7.981,8.657315034211693e-08,60.0,7.980523809523809,7.981,2.4173930984073886e-06,0.0009807674351775108,7.980432903679992
2020-09-10_122924_TERSLG175_2020005983,2020-10-09 00:00:00,12:42,TERSLG175,20.3,20.0,23.960201,53.029198,-0.361949,,7.95,20.0,2.0,7.9566790123456785,7.956,7.955428571428571,7.955,1.822938465538593e-08,53.0,7.9549642857142855,7.955,1.3320246793859785e-06,0.0008380817098478057,7.9549824704024426
2020-09-10_125429_TERSLG175_2020005973,2020-10-09 00:00:00,12:59,TERSLG175,20.0,20.0,23.960201,53.029198,-0.361949,,7.95,20.0,2.0,7.952518518518518,7.952999999999999,7.953102040816327,7.952999999999999,1.0996002653185829e-06,19.0,7.953048387096774,7.952999999999999,4.207470271027337e-07,0.0009308451889180272,7.952231900220083
2020-09-10_131944_ROTTMPT70_2020005976,2020-10-09 00:00:00,13:38,ROTTMPT70,21.2,20.0,23.960201,53.029198,-0.361949,,8.05,20.0,2.0,8.044333333333334,8.048,8.049469387755103,8.05,0.0,74.0,8.051,8.051,0.0,0.0,8.051
2020-09-10_134410_TERSLG175_2020005984,2020-10-09 00:00:00,14:01,TERSLG175,21.3,20.0,23.960201,53.029198,-0.361949,,7.87,20.0,2.0,7.887395061728395,7.877999999999999,7.875102040816327,7.874,1.2121603884006753e-06,71.0,7.871900000000001,7.872000000000001,4.3981641990797515e-06,0.0005676462121973538,7.8732728177019595
2020-09-10_140851_TERSLG235_2020005974,2020-10-09 00:00:00,14:27,TERSLG235,21.1,20.0,23.960201,53.029198,-0.361949,,7.92,20.0,2.0,7.910308641975307,7.912999999999999,7.914510204081632,7.915,1.3867231592537417e-22,75.0,7.915333333333333,7.915,9.200996803590457e-06,0.0005163977794944947,7.915333333333333
